os_locus	zm_locus	symbols
LOC_Os02g02700	Zm00001d015025	AAE1
LOC_Os02g02400	Zm00001d054044	CAT3
LOC_Os08g39420	Zm00001d017656	IndA
LOC_Os04g57550	Zm00001d001883	PAO4
LOC_Os09g37280	Zm00001d006270	ECH2
LOC_Os04g53190	Zm00001d026334	PAO2
LOC_Os06g02144	Zm00001d042184	6PGDH
LOC_Os12g04990	Zm00001d023238	LACS6
LOC_Os05g29880	Zm00001d037939	MFP2
LOC_Os02g56850	Zm00001d018454	GR1
LOC_Os10g35520	Zm00001d032570	EH3
LOC_Os03g05780	Zm00001d027711	4CL1
LOC_Os05g26660	Zm00001d043266	NDB1
LOC_Os02g17390	Zm00001d053308	AIM1
LOC_Os03g07570	Zm00001d027861	AGT2
LOC_Os01g55540	Zm00001d043382	ASP3
LOC_Os01g39790	Zm00001d044288	ELT1
LOC_Os12g13120	Zm00001d024034	HIT2
LOC_Os01g67540	Zm00001d011163	4CL2
LOC_Os05g19480	Zm00001d031028	PEX2
LOC_Os01g69130	Zm00001d042338	DRP3B
LOC_Os04g57680	Zm00001d001870	PEX22
LOC_Os05g32630	Zm00001d010478	PNC1
LOC_Os09g33470	Zm00001d010908	PXN/PMP38/PMP36 (Zm00001d010908)
LOC_Os08g43560	Zm00001d053223	APX3
LOC_Os08g09250	Zm00001d024245	GLX1
LOC_Os09g32290	Zm00001d020984	SOX
LOC_Os02g57260	Zm00001d018487	KAT1 (Zm00001d018487)
LOC_Os10g31950	Zm00001d014093	KAT1 (Zm00001d014093)
LOC_Os06g24704	Zm00001d042884	ACX3
LOC_Os11g39220	Zm00001d048890	ACX6
LOC_Os03g04000	Zm00001d027519	4Cl3
LOC_Os03g04130	Zm00001d027535	AAE1 (Zm00001d027535)
LOC_Os03g04120	Zm00001d027534	AAE1 (Zm00001d027534
LOC_Os03g03910	Zm00001d027511	CAT3 (Zm00001d027511)
LOC_Os06g51150	Zm00001d014848	CAT3 (Zm00001d014848)
LOC_Os04g35200	Zm00001d003660	ATF1
LOC_Os07g01760	Zm00001d018639	GGT1
LOC_Os08g03630	Zm00001d035200	AAE14
LOC_Os03g48480	Zm00001d031220	st1 (Zm00001d031220)
LOC_Os05g04660	Zm00001d024770	st1 (Zm00001d024770)
LOC_Os05g09370	Zm00001d012937	pxPfkB
LOC_Os01g14580	Zm00001d039079	ICDH
LOC_Os03g59080	Zm00001d034519	AAE18
LOC_Os02g43720	Zm00001d017459	NS
LOC_Os05g45300	Zm00001d038755	ECI
LOC_Os04g57560	Zm00001d026586	PAO4
LOC_Os03g03790	Zm00001d027499	AAE12 (Zm00001d027499)
LOC_Os04g57850	Zm00001d001849	AAE12 (Zm00001d001849)
LOC_Os09g17680	Zm00001d005632	NADK3
LOC_Os08g35740	Zm00001d032049	OPR3 (Zm00001d032049)
LOC_Os08g35740	Zm00001d032049	OPR3 (Zm00001d032049)
LOC_Os12g43630	Zm00001d041243	MDH1 (Zm00001d041243)
LOC_Os03g56280	Zm00001d034241	MDH1 (Zm00001d034241)
LOC_Os01g64520	Zm00001d042746	Uri
LOC_Os02g32200	Zm00001d048584	st5 (Zm00001d048584)
LOC_Os04g35590	Zm00001d003630	st5 (Zm00001d003630)
LOC_Os01g12910	Zm00001d008999	st5 (Zm00001d008999)
LOC_Os06g36520	Zm00001d046254	GLH
LOC_Os04g40040	Zm00001d003309	CuAO
LOC_Os02g13840	Zm00001d016248	CSY3
LOC_Os08g41830	Zm00001d031617	SO
LOC_Os03g63290	Zm00001d012849	SDRc
LOC_Os12g04990	Zm00001d052485	LACS6
LOC_Os07g47820	Zm00001d007158	IBR3
LOC_Os04g52400	Zm00001d026290	SDRb
LOC_Os04g53210	Zm00001d002261	HAOX1
LOC_Os01g58380	Zm00001d012590	HBCDH
LOC_Os03g19240	Zm00001d028868	AAE7 (Zm00001d028868)
LOC_Os03g19250	Zm00001d047663	AAE7 (Zm00001d047663)
LOC_Os01g21960	Zm00001d040691	GPK1
LOC_Os08g32870	Zm00001d050339	BADH (Zm00001d050339)
LOC_Os04g39020	Zm00001d025626	BADH (Zm00001d025626)
LOC_Os11g01600	Zm00001d052321	MIF
LOC_Os01g06600	Zm00001d039768	ACX4 (Zm00001d039768)
LOC_Os05g07090	Zm00001d037521	ACX4 (Zm00001d037521)
LOC_Os09g39380	Zm00001d005347	MDAR1 (Zm00001d005347)
LOC_Os08g44340	Zm00001d049954	MDAR1 (Zm00001d049954)
LOC_Os08g39960	Zm00001d031453	SDR
LOC_Os05g24880	Zm00001d002246	ZnDH
LOC_Os01g59750	Zm00001d028963	HIT3 (Zm00001d028963)
LOC_Os07g27960	Zm00001d019599	st3
LOC_Os05g19150	Zm00001d023651	EH3 (Zm00001d023651)
LOC_Os03g61340	Zm00001d034740	EH3 (Zm00001d034740)
LOC_Os09g04730	Zm00001d019439	IBR1
LOC_Os03g19680	Zm00001d028909	ECHIA
LOC_Os03g21960	Zm00001d029083	AGT2 (Zm00001d029083)
LOC_Os05g39770	Zm00001d038453	AGT2 (Zm00001d038453)
LOC_Os04g40990	Zm00001d003247	MLS
LOC_Os01g53450	Zm00001d026689	BIOTIN F
LOC_Os03g11960	Zm00001d028232	CSD3
LOC_Os06g04910	Zm00001d045394	NUDT19
LOC_Os09g21230	Zm00001d020343	AAE17
LOC_Os04g44550	Zm00001d002954	MIA40
LOC_Os08g43370	Zm00001d032045	6PGL
LOC_Os06g14240	Zm00001d044728	AtHsp15.7
LOC_Os02g52720	Zm00001d044939	SCP2
LOC_Os01g70090	Zm00001d011971	AtDCI
LOC_Os09g36300	Zm00001d021301	LON2
LOC_Os03g27320	Zm00001d047217	TLP
LOC_Os04g37710	Zm00001d003504	UP7
LOC_Os02g14790	Zm00001d016170	PEX7
LOC_Os03g19010	Zm00001d028834	PEX11a
LOC_Os07g41800	Zm00001d006839	PEX10
LOC_Os02g03070	Zm00001d053931	PEX16
LOC_Os10g32960	Zm00001d032773	PEX12
LOC_Os04g53690	Zm00001d026361	PEX22 (LOC_Os04g53690)
LOC_Os04g45210	Zm00001d002834	PEX11b
LOC_Os03g24060	Zm00001d047461	FIS1A (Zm00001d047461)
LOC_Os05g31770	Zm00001d009978	FIS1A (Zm00001d009978)
LOC_Os02g42314	Zm00001d017335	PEX4
LOC_Os03g16080	Zm00001d047838	CDC (Zm00001d047838)
LOC_Os01g04990	Zm00001d039884	CDC (Zm00001d039884)
LOC_Os02g13270	Zm00001d016305	PMP22 (Zm00001d016305)
LOC_Os08g45210	Zm00001d049881	PMP22 (Zm00001d049881)
LOC_Os01g12800	Zm00001d008992	PMP22 (Zm00001d008992)
LOC_Os02g47800	Zm00001d017787	MDAR4
LOC_Os04g14680	Zm00001d025047	APX3
LOC_Os06g12630	Zm00001d011034	DHAR
LOC_Os08g09250	Zm00001d037775	GLX1
LOC_Os02g35610	Zm00001d016864	SMP2
LOC_Os01g21380	Zm00001d040228	SOX
LOC_Os01g25880	Zm00001d032160	CoAE
